repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
master-admission,master-admission/reports/pitfalls.md,30,2517,4,412,META=2;REGISTRY=2;RULE=2;STRUCT=6,,,ad521a561d84,
self-map,self-map/10-life-history/02-notes/notion-diary.md,2259,474054,4,412,META=1;RETRO=2;RULE=8;STRUCT=1,,,7e23522899c5,
personal-finance-dss,personal-finance-dss/docs/reports/report_types.md,77,8592,4,410,POSTMOR=3;REGISTRY=3;RETRO=2;RULE=2,,,467fb03a2e50,
personal-finance-dss,personal-finance-dss/docs/reports/investigations/machine_load_gate_timeout_investigation.md,333,33472,4,409,META=2;REGISTRY=2;RULE=1;STRUCT=4,,,b9f54a1d301c,
legal-knowledge-base,legal-knowledge-base/ROADMAP.md,532,51859,4,408,META=1;REGISTRY=2;RULE=4;STRUCT=1,,,ad22e39bc66d,
dota-dossier,dota-dossier/ROADMAP.md,291,23067,4,408,REGISTRY=3;RETRO=1;RULE=3;STRUCT=1,,,fbbe9a5f9aa6,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/postgres_false_debt_repeat.md,153,9204,4,408,META=1;POSTMOR=3;RULE=3;STRUCT=1,,,6d8972f0ceda,
portrait-of-taste,portrait-of-taste/reports/incidents/bash_classifier_channel_outage_incident.md,111,9008,4,408,META=2;POSTMOR=1;REGISTRY=4;RETRO=1,yes,,2720b32a4f51,
portrait-of-taste,portrait-of-taste/reports/README.md,65,4670,4,407,META=2;REGISTRY=2;RETRO=1;RULE=2,,,4cbc3a0cc333,
exam-kit,exam-kit/docs/WORKFLOW.md,102,9965,4,407,META=1;REGISTRY=1;RULE=4;STRUCT=1,,,de7972ca7925,
mission-control,mission-control/CHANGELOG.md,3021,242676,3,399,REGISTRY=78;RULE=57;STRUCT=4,,,76aa81e8e448,
personal-finance-dss,personal-finance-dss/docs/ui_ux_design_standard.md,723,87877,3,399,REGISTRY=24;RULE=75;STRUCT=1,,,f4aea273c710,
visual-style,visual-style/02-standards/finpilot-ui-ux-design-standard.md,723,87877,3,399,REGISTRY=24;RULE=75;STRUCT=1,,,f4aea273c710,
exam-kit,exam-kit/docs/LESSONS.md,408,48805,3,399,REGISTRY=38;RULE=14;STRUCT=64,,,c70b29abddc3,
legal-knowledge-base,legal-knowledge-base/06-conscript-school/voennoe-pravo/Статьи каталога ДСО/Отказ от военной службы прописан в Российском законе.docx.md,1949,942668,3,395,META=2;RETRO=1;RULE=92,,,86bba44d25bf,
self-map,self-map/11-external-sources/mozg-psikhologiya-zavisimost-2025.md,6869,736307,3,388,META=2;RULE=85;STRUCT=1,,,88333c0d4e3b,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/qa_bug_report.md,503,40162,3,386,POSTMOR=1;REGISTRY=82;RULE=3,,,f8632e95bd63,
legal-knowledge-base,legal-knowledge-base/06-conscript-school/s-l-ariya-zhizn-advokata.pdf.md,19057,1661714,3,382,META=7;RULE=74;STRUCT=1,,,2249ea3acce7,
legal-knowledge-base,legal-knowledge-base/01-libraries/shoz-import/С.Л.Ария Жизнь адвоката.pdf.md,19057,1661750,3,382,META=7;RULE=74;STRUCT=1,,,7988cfd7c927,
personal-finance-dss,personal-finance-dss/docs/math_model.md,865,102607,3,365,REGISTRY=48;RULE=15;STRUCT=2,,,4d89ca97645e,
misc-vault,misc-vault/01-documents/claude-instructions/Instruction files/Василий_КИТ/СБОРКА_всё.md,3589,279939,3,360,REGISTRY=8;RULE=51;STRUCT=1,,00-infrastructure/sborka-vse.md,26295dc19795,
portrait-of-taste,portrait-of-taste/01-claude-context/bundle-all.md,3589,277782,3,360,REGISTRY=8;RULE=51;STRUCT=1,yes,,72a13fca67e0,
portrait-of-taste,portrait-of-taste/backlog/PROTOCOLS_BACKLOG.md,224,15487,3,351,META=3;RULE=13;STRUCT=35,,,c5b1eb1fd33b,
self-map,self-map/11-external-sources/mozg-psikhologiya-zavisimost-2026.md,5853,618189,3,350,META=2;RETRO=2;RULE=46,,,764143a510dc,
control-panel,control-panel/CHANGELOG.md,859,66515,3,331,REGISTRY=15;RULE=15;STRUCT=1,,,31025cf0cdb0,
character-a-analysis,character-a-analysis/10-life-history/02-notes/mega-handoff.md,2707,350109,3,331,META=1;RETRO=2;RULE=28,,,210d03291070,
self-map,self-map/10-life-history/02-notes/mega-handoff.md,2707,350109,3,331,META=1;RETRO=2;RULE=28,,,210d03291070,
personal-finance-dss,personal-finance-dss/docs/reports/investigations_summary.md,246,43973,3,330,REGISTRY=22;RULE=4;STRUCT=4,,,b8b150e49c40,
misc-vault,misc-vault/01-documents/claude-instructions/Instruction files/Василий_КИТ/СБОРКА_ядро+профиль.md,1211,135204,3,330,REGISTRY=1;RULE=28;STRUCT=1,yes,,133ea27db787,
portrait-of-taste,portrait-of-taste/01-claude-context/bundle-core-profile.md,1211,134377,3,330,REGISTRY=1;RULE=28;STRUCT=1,yes,,8a7fadc9d069,
character-a-analysis,character-a-analysis/10-life-history/09-history/handoff-prompt-session-34.md,177,17524,3,326,META=3;REGISTRY=19;RULE=4,,,2b47ae6348b9,
personal-finance-dss,personal-finance-dss/docs/model/model_quality_scorecard.md,621,52054,3,325,REGISTRY=16;RULE=8;STRUCT=1,,,3d0a43e2d67d,
