время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:44:40	steam_osx	404887	86578	6132	0	4993
06:44:40	dota2	59455175	8998797	0	0	0
06:44:40	Tunnel	34514490	68224273	20027	51409	1145868
06:44:50	steam_osx	404887	86632	6132	0	4993
06:44:50	dota2	59784697	9048556	0	0	0
06:44:50	Tunnel	34875428	68426244	20027	51409	1145868
06:45:00	steam_osx	405577	87053	6132	0	4993
06:45:00	dota2	60137225	9100117	0	0	0
06:45:00	Tunnel	35212998	68774076	20027	51409	1145868
06:45:10	steam_osx	406564	87143	6132	0	4993
06:45:10	dota2	60520795	9155932	0	0	0
06:45:10	Tunnel	35526171	68776969	20027	51409	1145868
06:45:21	steam_osx	407132	87143	6132	0	4993
06:45:21	dota2	60855983	9201448	0	0	0
06:45:21	Tunnel	35861810	69050446	20027	51409	1145868
06:45:31	steam_osx	407321	87197	6132	0	4993
06:45:31	dota2	61246946	9261852	0	0	0
06:45:31	Tunnel	36203582	69178277	20027	51409	1145868
06:45:41	steam_osx	407321	87197	6132	0	4993
06:45:41	dota2	61567162	9382167	0	0	0
06:45:41	Tunnel	36559357	69276386	20027	51409	1145868
06:45:51	steam_osx	407902	87251	6132	0	4993
06:45:51	dota2	61861058	9353567	0	0	0
06:45:51	Tunnel	37098984	69513761	20027	51409	1145868
06:46:01	steam_osx	408112	87251	6132	0	4993
06:46:01	dota2	62232044	9442541	0	0	0
06:46:01	Tunnel	37596523	69675192	20027	51409	1145868
06:46:11	steam_osx	408406	87251	6132	0	4993
06:46:11	dota2	62763887	9521107	0	0	0
06:46:11	Tunnel	38178230	69775299	20027	51409	1145868
06:46:21	steam_osx	408594	87305	6132	0	4993
06:46:21	dota2	63222089	9611315	0	0	0
06:46:21	Tunnel	38669060	69868427	20027	51409	1145868
06:46:31	steam_osx	409163	87305	6132	0	4993
06:46:31	dota2	63639679	9677638	0	0	0
06:46:31	Tunnel	39129183	69952230	20027	51409	1145868
06:46:42	steam_osx	409665	87726	6132	0	4993
06:46:42	dota2	64064886	9732387	0	0	0
06:46:42	Tunnel	39601533	70031101	20027	51409	1145868
06:46:52	steam_osx	409962	87780	6132	0	4993
06:46:52	dota2	64599967	9787567	0	0	0
06:46:52	Tunnel	40172238	69899412	20027	51409	1145868
06:47:02	steam_osx	410148	87780	6132	0	4993
06:47:02	dota2	65043174	9839364	0	0	0
06:47:02	Tunnel	40664584	69968140	20027	51409	1145868
06:47:12	steam_osx	410148	87834	6132	0	4993
06:47:12	dota2	65420522	9893984	0	0	0
06:47:12	Tunnel	41074994	70277610	20027	51409	1145868
06:47:22	steam_osx	410148	87834	6132	0	4993
06:47:22	dota2	38087415	5659314	0	0	0
06:47:22	Tunnel	41594936	70383058	20027	58875	1152307
06:47:32	steam_osx	410525	87834	6132	0	4993
06:47:32	dota2	38526474	5713200	0	0	0
06:47:32	Tunnel	42082332	70571395	20027	58875	1152307
06:47:43	steam_osx	410717	87888	6132	0	4993
06:47:43	dota2	38902996	5773228	0	0	0
06:47:43	Tunnel	42313301	70753511	20027	58875	1152307
06:47:53	steam_osx	410717	87888	6132	0	4993
06:47:53	dota2	39307457	5835574	0	0	0
06:47:53	Tunnel	42774779	71095028	20027	58875	1152307
06:48:03	steam_osx	412067	87888	6132	0	4993
06:48:03	dota2	39661013	5908341	0	0	0
06:48:03	Tunnel	43084496	71424990	20027	58875	1152307
06:48:13	steam_osx	412649	87942	6132	0	4993
06:48:13	dota2	40017685	5974758	0	0	0
06:48:13	Tunnel	43472084	71532771	20027	58875	1152307
